@ TYPE             %05s "TWISS"
@ TITLE            %09s "CNAO SYNC"
@ ORIGIN           %18s "5.03.04 Windows 64"
@ DATE             %08s "11/09/17"
@ TIME             %08s "16.08.31"
* CyCo BP EdipInj EdipExtr S2kinj s2kextr S3kinj s3kextr S4kinj s4kextr S6 S8 S9 S0_29Acc S0_29FT S2_08Acc S2_08FT SC_08Acc SC_08FT SC_21Acc SC_21FT SE_16Acc SE_16FT BumpVert S4_08Acc S4_08FT S6_14Acc S6_14FT S8_08Acc S8_08FT S8_35Acc S8_35FT SA_08Acc SA_08FT
$ %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le
23 56 7.134663 160.4241487 0.47434 0.49773 0.34618 0.310115558935899 0.52017 0.533530334703638 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
24 58 7.134663 163.5264622 0.47434 0.49773 0.34618 0.310099879506285 0.52017 0.533524286761677 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
25 60 7.134663 166.5898404 0.47434 0.49773 0.34618 0.31010575990212 0.52017 0.533526531271687 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
26 62 7.134663 169.616159 0.47434 0.49773 0.34618 0.310091052198995 0.52017 0.533520797220109 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
27 64 7.134663 172.6071487 0.47434 0.49773 0.34618 0.310075326841408 0.52017 0.533514941337715 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
28 66 7.134663 175.5644039 0.47434 0.49773 0.34618 0.31006052271712 0.52017 0.533509320434286 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
29 68 7.134663 178.4893917 0.47434 0.49773 0.34618 0.310044544410351 0.52017 0.533503093441681 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
30 70 7.134663 181.3834596 0.47434 0.49773 0.34618 0.31004977975474 0.52017 0.533505098808025 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
31 72 7.134663 184.2478445 0.47434 0.49773 0.34618 0.310059167566021 0.52017 0.533508616619909 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
32 74 7.134663 187.0836802 0.47434 0.49773 0.34618 0.310066976537509 0.52017 0.533511728898588 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
33 76 7.134663 189.892006 0.47434 0.49773 0.34618 0.310095639833744 0.52017 0.533522566638329 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
34 78 7.134663 192.6737742 0.47434 0.49773 0.34618 0.31012400450089 0.52017 0.533533409121163 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
35 80 7.134663 195.4298579 0.47434 0.49773 0.34618 0.310151912686117 0.52017 0.533544112570616 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
36 82 7.134663 198.1610591 0.47434 0.49773 0.34618 0.310159615427097 0.52017 0.533547116464736 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
37 84 7.134663 200.8681157 0.47434 0.49773 0.34618 0.310186794535259 0.52017 0.5335575079686 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
38 86 7.134663 203.5517101 0.47434 0.49773 0.34618 0.310191910821953 0.52017 0.533559387180672 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
